"","id","tau","beta","lambda"
"1",1,0.0404344168139905,0.232953581882747,3.52595687210513
"2",2,0.0775111925917728,0.784790895604949,1.50056295309605
"3",3,0.0211913716868288,0.242328290472862,0.00673796317284276
"4",4,0.324590200718427,0.502340765006902,0.696122758741316
"5",5,0.0390618104807978,0.432195831276799,2.54392376897108
"6",6,0.0494050774309584,1.69105178552013,0.242912804673079
"7",7,0.00699094915406822,0.294990139850843,0.370497264342994
"8",8,0.0465554037518325,0.258836509004614,0.00674170706421211
"9",9,0.0337298777251284,0.716855507770337,2.99029978069427
"10",10,0.0189439977226382,1.25636204467301,0.370497264342994
"11",11,0.0549553293408504,0.51669969016157,2.04530663673046
"12",12,0.0366434645482448,0.591572025701523,3.27692717701303
"13",13,0.0211903105648844,0.533772375369968,3.2990730336864
"14",14,0.0498808507159192,0.848133625114344,2.8704745230825
"15",15,0.160124416097223,0.425553797404546,0.115700391560819
"16",16,0.0212116005644363,0.258836509004614,0.505618374314703
"17",17,0.0277810810399425,0.718438923326156,2.14940600854042
"18",18,0.125431357653408,0.156580821286943,0.572265640181068
"19",19,0.602564516279995,0.915868099951283,0.74839078334833
"20",20,0.0075688628193024,0.495947441938969,0.370497264342994
"21",21,0.0227865070956625,0.241833565675427,3.77414845300694
"22",22,0.0873038608459185,2.27747810148164,0.163836641614003
"23",23,0.041907400284451,0.748135843218066,3.10872306800798
"24",24,0.0480815148353632,0.143304516805799,0.0535484174406419
"25",25,0.0400480832297267,0.68233508493649,2.83524646921136
"26",26,0.0422933480024121,0.251270933206702,0.898453769429876
"27",27,0.304038394154065,0.258836509004614,0.707506615902736
"28",28,0.0365715948365783,0.0330296541497033,3.74081923210565
"29",29,0.0424954113302233,0.00673794870255609,2.44552480953804
"30",30,0.0649870010314128,0.00903562356125536,2.62105628623038
"31",31,0.0526466663864595,0.355104582370114,0.226217958257543
"32",32,0.148710356249632,0.258836509004614,0.618014291002803
"33",33,0.521800556423872,0.258836509004614,3.39235500859225
"34",34,0.209049442676239,0.306231017912766,0.0195691421650115
"35",35,0.488645679706939,0.258836509004614,0.421202145564366
"36",36,0.210834638016642,2.0797751923391,0.745357857260068
"37",37,0.00701227947064636,0.0728520248465783,0.370497264342994
"38",38,0.186034276000548,0.363224682804838,0.19499399554231
"39",39,0.0823156433295512,0.228568116853148,0.787049164653374
"40",40,0.0146151034595856,0.258836509004614,0.00776611015726992
"41",41,0.0439816570691742,0.592538708428643,0.0371875736947744
"42",42,0.00674472687065807,0.331456753081883,0.370497264342994
"43",43,0.0551768534957231,0.433842124737249,1.45525210258159
"44",44,0.0764599418671595,0.252344919233348,0.0123181152038933
"45",45,0.0229107995106793,0.727508051291429,1.01673663866048
"46",46,0.748028411470409,0.258836509004614,2.40583752261372
"47",47,0.0143808055045071,4.02227048762297,0.0320298399209927
"48",48,0.019622817389544,0.327911384593082,1.64805077298063
"49",49,0.0975770783237993,0.00673794701422867,0.0543115190916522
"50",50,0.0688356132957828,3.0154127951484,0.162651786509709
"51",51,0.371604530336892,0.498415134541329,0.0132111513519248
"52",52,0.0792404460259968,1.07873506757928,2.42861684887643
"53",53,0.0168575965800974,0.332332818665855,0.00673794811518019
"54",54,0.0346387220286195,0.248859824606727,0.0584339675796488
"55",55,0.132386858338619,2.64248867585398,1.81528023231787
"56",56,0.0717845825759878,0.308465769716585,0.063707706230475
"57",57,0.0549346166183096,0.719210710234421,1.96494154841267
