"","id","age","condition","round","trial","x","y","z"
"1",1,7,1,1,0,1,4,15.2249258244335
"2",1,7,1,1,1,5,0,34.1190528941939
"3",1,7,1,1,2,5,1,23.2470682644097
"4",1,7,1,1,3,0,4,17.0895032573988
"5",1,7,1,1,4,6,4,14.5126752852487
"6",1,7,1,1,5,5,5,6.43701887608048
"7",1,7,1,1,6,4,5,7.26160303412473
"8",1,7,1,1,7,2,0,21.543475554096
"9",1,7,1,1,8,3,0,29.7164814279101
"10",1,7,1,1,9,3,6,19.0846305965299
"11",1,7,1,1,10,6,4,14.5126752852487
"12",1,7,1,1,11,0,5,19.0222532887611
"13",1,7,1,1,12,2,3,25.1313665091312
"14",1,7,1,1,13,5,7,19.9799720886357
"15",1,7,1,1,14,7,4,14.8510250971557
"16",1,7,1,1,15,7,0,23.3312668249762
"17",1,7,1,1,16,0,7,24.9110063107517
"18",1,7,1,1,17,3,2,28.0639179309309
"19",1,7,1,1,18,3,0,29.7164814279101
"20",1,7,1,1,19,6,6,15.5576581841265
"21",1,7,1,1,20,1,7,19.9422196885766
"22",1,7,1,1,21,6,3,16.9452092706409
"23",1,7,1,1,22,4,0,32.3309900863276
"24",1,7,1,1,23,3,2,28.0639179309309
"25",1,7,1,1,24,0,7,24.9110063107517
"26",1,7,1,1,25,4,1,19.9164638335981
"27",1,7,1,2,0,3,6,22.5730208388518
"28",1,7,1,2,1,2,2,28.9089234670476
"29",1,7,1,2,2,3,2,23.9143494040029
"30",1,7,1,2,3,4,2,30.6705774490122
"31",1,7,1,2,4,6,2,28.0189513554015
"32",1,7,1,2,5,3,4,23.6270933978865
"33",1,7,1,2,6,7,4,41
"34",1,7,1,2,7,0,3,20.7116655772109
"35",1,7,1,2,8,7,3,33.7977031049757
"36",1,7,1,2,9,7,2,28.4070761839612
"37",1,7,1,2,10,7,5,37.8701037541979
"38",1,7,1,2,11,6,5,35.2738502393668
"39",1,7,1,2,12,6,5,35.2738502393668
"40",1,7,1,2,13,4,4,30.3158083604393
"41",1,7,1,2,14,2,7,22.9449435377983
"42",1,7,1,2,15,2,6,24.6904832253806
"43",1,7,1,2,16,6,3,28.0144485161872
"44",1,7,1,2,17,5,4,35.1193901915993
"45",1,7,1,2,18,6,5,35.2738502393668
"46",1,7,1,2,19,2,1,37.3821990324964
"47",1,7,1,2,20,2,3,26.4569229725528
"48",1,7,1,2,21,4,5,27.5644964256071
"49",1,7,1,2,22,7,7,25.5998118604991
"50",1,7,1,2,23,6,3,28.0144485161872
"51",1,7,1,2,24,2,5,18.4495172359368
"52",1,7,1,2,25,7,1,16.0657555167782
"53",1,7,1,3,0,0,6,35.6422360944629
"54",1,7,1,3,1,0,5,34.9352636953585
"55",1,7,1,3,2,5,0,18.9516246540529
"56",1,7,1,3,3,3,4,35.4214117774015
"57",1,7,1,3,4,5,7,32.1741263113422
"58",1,7,1,3,5,5,5,23.222367437428
"59",1,7,1,3,6,5,4,33.6297591230002
"60",1,7,1,3,7,4,1,15.454632778305
"61",1,7,1,3,8,0,7,32.3239316486054
"62",1,7,1,3,9,3,5,42.5773026847014
"63",1,7,1,3,10,6,4,21.1323093864274
"64",1,7,1,3,11,7,5,22.2033173687824
"65",1,7,1,3,12,4,6,33.8711158619048
"66",1,7,1,3,13,0,5,34.9352636953585
"67",1,7,1,3,14,6,4,21.1323093864274
"68",1,7,1,3,15,5,6,27.3751403448194
"69",1,7,1,3,16,3,1,24.6003228375824
"70",1,7,1,3,17,2,4,32.6088358222825
"71",1,7,1,3,18,3,3,29.5547733368061
"72",1,7,1,3,19,1,4,33.5225544254371
"73",1,7,1,3,20,7,5,22.2033173687824
"74",1,7,1,3,21,4,6,33.8711158619048
"75",1,7,1,3,22,6,4,21.1323093864274
"76",1,7,1,3,23,5,3,21.9588882411014
"77",1,7,1,3,24,1,5,35.0389447646539
"78",1,7,1,3,25,3,7,23.3972534382651
"79",1,7,1,4,0,0,2,20.5655220451833
"80",1,7,1,4,1,4,5,39.2863790577439
"81",1,7,1,4,2,4,6,43
"82",1,7,1,4,3,2,3,15.7323783526883
"83",1,7,1,4,4,7,1,14.9691039541384
"84",1,7,1,4,5,5,3,38.9418602009013
"85",1,7,1,4,6,4,1,13.6429392924956
"86",1,7,1,4,7,2,1,23.6711722668852
"87",1,7,1,4,8,7,6,35.3308702374009
"88",1,7,1,4,9,1,0,21.9134806362472
"89",1,7,1,4,10,6,6,28.421568872007
"90",1,7,1,4,11,2,3,15.7323783526883
"91",1,7,1,4,12,0,5,17.0503950615244
"92",1,7,1,4,13,0,1,23.2425705919225
"93",1,7,1,4,14,3,1,22.9424189517595
"94",1,7,1,4,15,2,3,15.7323783526883
"95",1,7,1,4,16,4,7,39.2566953677783
"96",1,7,1,4,17,4,3,39.2635514160712
"97",1,7,1,4,18,6,1,5.0011007485215
"98",1,7,1,4,19,6,6,28.421568872007
"99",1,7,1,4,20,4,2,21.5972720519547
"100",1,7,1,4,21,6,4,24.9428279851308
"101",1,7,1,4,22,1,0,21.9134806362472
"102",1,7,1,4,23,7,4,28.804650124067
"103",1,7,1,4,24,7,7,31.1762046196215
"104",1,7,1,4,25,4,7,39.2566953677783
"105",1,7,1,5,0,3,0,13.409565045668
"106",1,7,1,5,1,7,1,21.2757495586791
"107",1,7,1,5,2,7,3,27.9688200716779
"108",1,7,1,5,3,1,2,34.0957299301677
"109",1,7,1,5,4,3,3,30.8072708560344
"110",1,7,1,5,5,0,1,33.3682720864315
"111",1,7,1,5,6,6,6,21.5430909878289
"112",1,7,1,5,7,2,0,13.0731957356897
"113",1,7,1,5,8,4,6,24.4570395473453
"114",1,7,1,5,9,3,5,17.9182926965764
"115",1,7,1,5,10,4,0,23.4987731599285
"116",1,7,1,5,11,7,5,24.513613406143
"117",1,7,1,5,12,5,5,29.5806894650582
"118",1,7,1,5,13,6,5,22.3772411287774
"119",1,7,1,5,14,6,4,32.3240441072034
"120",1,7,1,5,15,3,2,29.0963830923712
