"","id","tau","beta","lambda"
"1",1,0.140608496687197,0.00673838575775065,1.2315296625053
"2",2,0.00673825615462371,0.525843201276309,0.431406574588158
"3",3,0.245162821195512,0.780428293537783,0.901261251503909
"4",4,0.00903986339063924,0.533624271482209,0.38277359915018
"5",5,0.00673798581245028,0.526068942069773,0.400022753199022
"6",6,0.261668968359551,1.53814672453147,0.845401610124541
"7",7,0.0257623458470191,0.172027818577469,0.721478916908831
"8",8,0.025553634928658,0.215029810992988,1.18728372575189
"9",9,0.00673858295497488,0.54767706333154,0.404320020993917
"10",10,0.00674023881084673,0.535120473408742,0.394713241554967
"11",11,0.0493862141053313,0.518384735487816,0.587301505566266
"12",12,0.0178755445611607,0.479883025578001,0.512567473142486
"13",13,0.0409357209261699,0.546711702414035,0.381057282990014
"14",14,0.00673872669408005,0.548069112129474,0.441885477911354
"15",15,0.00953877292557463,0.479288185677526,0.417375691941647
"16",16,0.00674302359938183,0.215029810992988,0.366839068744403
"17",17,0.00673795143720696,0.538331869136798,0.4194288394175
"18",18,0.148400740964445,0.0067379656274279,1.35992575416471
"19",19,0.00673801460675448,0.541167441063671,0.405419730157249
"20",20,0.00674893759389038,0.501069525188393,0.418038764765198
"21",21,0.0323492085669502,0.362235937547945,0.68887962614896
"22",22,0.00673794932577059,0.534237539307633,0.420480342687106
"23",23,0.00693912483056171,0.514113053930172,0.424859809957915
"24",24,0.105218445451096,0.215042871704346,0.599079720828406
"25",25,0.00691279207256856,0.555900325781376,0.409278846330806
"26",26,0.0823620301979233,0.34169837655418,0.611732472561311
"27",27,0.00673796775071262,0.53983572291621,0.429237518801001
"28",28,0.0926311983782455,0.00673794756590495,0.822276157025922
"29",29,0.0447551606906084,0.0193149085562295,0.850419455998013
"30",30,0.0474513575990008,0.0218326970805001,1.59006323015067
"31",31,0.144496631657876,0.0114272203095903,1.25579887698539
"32",32,0.025553634928658,0.215029810992988,0.156598613376472
"33",33,0.0152089176636169,0.179082365894291,0.561961621589683
"34",34,0.0187597633320568,0.451798279673317,0.547734864209932
"35",35,0.00673794974824164,0.53648030451095,0.436725967076313
"36",36,0.00673889203407739,0.543209594366237,0.444474701091557
"37",37,0.0565225211357099,0.144761250476324,0.813860148849715
"38",38,0.26403643517086,0.658476561100466,0.0279321643576905
"39",39,0.0578903556681235,0.146255166540995,0.598685428455983
"40",40,0.00673801853773655,0.531371665462258,0.38834981057103
"41",41,0.00673810295405117,0.490472118896635,0.410220415027754
"42",42,0.0218340940385963,0.398939769635293,0.628109895562811
"43",43,0.0134300017822976,0.533424123054543,0.437348086624175
"44",44,0.0113764999243677,0.367248155710879,0.506916040500223
"45",45,0.00673795832205248,0.536012734636667,0.394299723405337
"46",46,0.0101448938890038,0.312664178867215,0.519167840028917
"47",47,0.00673795354278878,0.519429729270468,0.410037111098371
"48",48,0.0231164127267092,0.281382791117391,0.509295883300571
"49",49,0.0969557899641011,0.00673794704842637,0.495379289221286
"50",50,0.00673795282389492,0.55828676268997,0.395491946211997
"51",51,0.00673800531119551,0.500748510092392,0.403679897946123
"52",52,0.010440332706107,0.305631821780858,0.496923523880296
"53",53,0.0358698238828492,0.23837358313267,0.612656140704346
"54",54,0.00970528286072693,0.507641210513763,0.46500364143186
