id,round,trial,x,y,z,chosen
1,1,0,6,7,9.9564881251,63
1,1,1,2,1,22.0621439412,11
1,1,2,4,3,24.6440563494,29
1,1,3,0,7,24.9110063108,57
1,1,4,6,0,34.8773502279,7
1,1,5,6,1,35,15
1,1,6,7,1,32.7587606717,16
1,1,7,5,0,34.1190528942,6
1,1,8,5,1,23.2470682644,14
1,1,9,7,2,30.6543370283,24
1,1,10,6,0,34.8773502279,7
1,1,11,6,0,34.8773502279,7
1,1,12,6,1,35,15
1,1,13,6,1,35,15
1,1,14,6,1,35,15
1,1,15,6,1,35,15
1,1,16,6,1,35,15
1,1,17,6,1,35,15
1,1,18,6,1,35,15
1,1,19,6,0,34.8773502279,7
1,1,20,6,0,34.8773502279,7
1,1,21,6,0,34.8773502279,7
1,1,22,6,0,34.8773502279,7
1,1,23,6,0,34.8773502279,7
1,1,24,6,1,35,15
1,1,25,6,1,35,15
1,2,0,7,0,5,8
1,2,1,3,5,22.3528845661,44
1,2,2,1,2,27.6844024977,18
1,2,3,2,0,37.6161486062,3
1,2,4,3,0,31.0176506213,4
1,2,5,1,0,29.4595087441,2
1,2,6,2,1,37.3821990325,11
1,2,7,2,1,37.3821990325,11
1,2,8,2,1,37.3821990325,11
1,2,9,2,0,37.6161486062,3
1,2,10,2,1,37.3821990325,11
1,2,11,2,0,37.6161486062,3
1,2,12,2,1,37.3821990325,11
1,2,13,2,0,37.6161486062,3
1,2,14,2,0,37.6161486062,3
1,2,15,2,1,37.3821990325,11
1,2,16,2,0,37.6161486062,3
1,2,17,2,0,37.6161486062,3
1,2,18,2,0,37.6161486062,3
1,2,19,2,0,37.6161486062,3
1,2,20,2,1,37.3821990325,11
1,2,21,2,0,37.6161486062,3
1,2,22,2,1,37.3821990325,11
1,2,23,2,0,37.6161486062,3
1,2,24,2,1,37.3821990325,11
1,2,25,2,0,37.6161486062,3
1,3,0,7,4,23.4831474604,40
1,3,1,0,2,31.6977482483,17
1,3,2,1,1,21.0778905739,10
1,3,3,0,3,45,25
1,3,4,0,4,39.6624936295,33
1,3,5,0,3,45,25
1,3,6,0,3,45,25
1,3,7,0,3,45,25
1,3,8,0,3,45,25
1,3,9,0,3,45,25
1,3,10,0,3,45,25
1,3,11,0,3,45,25
1,3,12,0,3,45,25
1,3,13,0,3,45,25
1,3,14,0,3,45,25
1,3,15,0,3,45,25
1,3,16,0,3,45,25
1,3,17,0,3,45,25
1,3,18,0,3,45,25
1,3,19,0,3,45,25
1,3,20,0,3,45,25
1,3,21,0,3,45,25
1,3,22,0,3,45,25
1,3,23,0,3,45,25
1,3,24,0,3,45,25
1,3,25,0,3,45,25
1,4,0,2,1,23.6711722669,11
